activation,replacement_rank,eps_mean,eps_std,fid_mean
gelu,1,0.8561809776227894,0.05231622791844033,0.7503114285714286
gelu,2,0.7719572957272904,0.09733478850778983,0.7715933333333334
gelu,4,0.6188210651481637,0.1925094673573234,0.8145628571428571
gelu,8,0.46420918854230847,0.17867475550174952,0.8596971428571428
gelu,16,0.32652701476146173,0.11345030033263596,0.9047857142857143
gelu,32,0.32652701476146173,0.11345030033263606,0.9047857142857143
gelu,64,0.32652701476146173,0.11345030033263605,0.9047857142857143
identity,1,0.8835624377454406,0.07023626512620149,0.6113609523809523
identity,2,0.785801741897531,0.11526253346950911,0.6523838095238095
identity,4,0.59487739795198,0.22832492133756976,0.7356295238095238
identity,8,0.3715180289640598,0.2062067144056213,0.8357542857142857
identity,16,1.2221850910198119e-08,1.4803593071065034e-08,1.0
identity,32,1.1751836536813059e-08,1.373501198088446e-08,1.0
identity,64,1.18632142718873e-08,1.4346193198210307e-08,1.0
relu,1,0.7570296167084947,0.04045085783207141,0.73546
relu,2,0.7023180630751168,0.06253671134718145,0.75298
relu,4,0.6137318546209253,0.09046711823395577,0.7828219047619047
relu,8,0.5180578585098212,0.06413518794066934,0.814972380952381
relu,16,0.4276504778269601,0.004804023105925257,0.8471533333333333
relu,32,0.4276504778269601,0.0048040231059252505,0.8471533333333333
relu,64,0.4276504778269601,0.004804023105925255,0.8471533333333333
tanh,1,0.8861733910109423,0.07074274903742782,0.6473895238095237
tanh,2,0.790427744530874,0.11680843593328485,0.68386
tanh,4,0.6035369222780645,0.2299879790086729,0.7616209523809524
tanh,8,0.3885941826212137,0.2121003829411271,0.8506238095238096
tanh,16,0.10874270580663796,0.08496504939390326,0.9637390476190476
tanh,32,0.10874270580663783,0.0849650493939032,0.9637390476190476
tanh,64,0.10874270580663808,0.08496504939390301,0.9637390476190476
